weather___is_dome,travel___v_body_clock_from_last_wk,time_date___is_superbowl,rankings___v__estim_winrate,home_field___h_is_home,home_field___v_visitor__open_wr_ytd,time_date___week_id,team_history___v_close_wr_past_5_games,team_history___v_open_wr_past_3_seasons,home_field___h_home__ovr_wr_last_8_games,rankings___v__defensedvoa,travel___v_travel_from_last_game,weather___is_grass,weather___wind_mph,home_field___h_home__ovr_wr_last_4_games,line___pfr_ou,team_history___h_open_wr_past_5_games,travel___v_tz_change_last_10_days,home_field___v_consecutive_visitor,rankings___h__defensedvoa,home_field___h_consecutive_home,home_field___v_visitor__open_wr_last_4_games,time_date___day_of_week,team_history___v_open_wr_past_5_games,home_field___h_home__pfr_wr_ytd,travel___v_days_since_last_game,team_history___v_pfr_wr_ytd,home_field___v_visitor__ovr_wr_last_8_games,team_history___h_pfr_wr_past_5_games,travel___v_same_stadium_last_game,home_field___v_visitor__close_wr_last_8_games,home_field___h_home__ovr_wr_ytd,line___close_ou,weather___humidity_pct,home_field___v_visitor__close_wr_last_4_games,line___open_ou,home_field___v_visitor__open_wr_last_8_games,travel___h_travel_from_last_game,line___h_ml,team_history___h_pfr_wr_past_3_seasons,team_history___v_pfr_wr_past_2_seasons,rankings___v__s_t_dvoa,rankings___h__off_rank,team_history___v_open_wr_past_2_seasons,travel___h_tz_change_last_10_days,rankings___v__off_rank,time_date___is_sunday,team_history___h_close_wr_past_2_seasons,matchup___is_same_conf,team_history___v_ovr_wr_past_2_seasons,line___h_pfr_line,team_history___h_close_wr_past_3_seasons,home_field___h_home__open_wr_last_4_games,travel___v_travel_from_last_game_decay,home_field___h_home__pfr_wr_last_4_games,home_field___v_visitor__pfr_wr_last_8_games,travel___h_body_clock_from_last_wk,home_field___h_home__pfr_wr_last_8_games,weather___temperature,weather___wind_chill,home_field___v_visitor__close_wr_ytd,line___v_ml,home_field___h_home__open_wr_last_8_games,time_date___game_time_local,team_history___h_ovr_wr_past_2_seasons,rankings___h__s_t_rank,matchup___h_wr_past_5_games,rankings___v__dave_or_wtddvoa,team_history___h_open_wr_past_3_seasons,home_field___h_home__close_wr_ytd,home_field___h_home__close_wr_last_4_games,matchup___h_wr_ytd,team_history___v_ovr_wr_past_3_seasons,team_history___v_ovr_wr_ytd,team_history___v_pfr_wr_past_5_games,time_date___is_playoffs,team_history___h_ovr_wr_past_5_games,rankings___h__estim_winrate,team_history___v_pfr_wr_past_3_seasons,rankings___h__dave_or_wtddvoa,rankings___h__def_rank,team_history___h_close_wr_past_5_games,rankings___v__def_rank,travel___h_travel_from_last_game_decay,time_date___game_time_eastern,matchup___is_same_division,travel___h_same_stadium_last_game,home_field___v_visitor__pfr_wr_last_4_games,game_id,team_history___h_pfr_wr_ytd,rankings___h__totaldvoa,rankings___h__offensedvoa,team_history___v_open_wr_ytd,team_history___v_close_wr_past_3_seasons,team_history___h_open_wr_past_2_seasons,home_field___v_visitor__ovr_wr_ytd,home_field___v_visitor__ovr_wr_last_4_games,team_history___h_open_wr_ytd,rankings___v__offensedvoa,home_field___h_home__open_wr_ytd,line___h_close_line,travel___v_home_body_time,team_history___h_close_wr_ytd,home_field___v_is_home,travel___v_tz_change_last_game,travel___v_dist_from_home,matchup___h_wr_past_3_seasons,rankings___v__totaldvoa,travel___h_tz_change_last_game,travel___v_travel_from_last_10_days,team_history___h_ovr_wr_ytd,travel___h_travel_from_last_10_days,team_history___v_close_wr_ytd,team_history___v_ovr_wr_past_5_games,line___h_open_line,home_field___h_home__close_wr_last_8_games,rankings___h__s_t_dvoa,home_field___v_visitor__pfr_wr_ytd,rankings___v__s_t_rank,matchup___h_wr_past_2_seasons,team_history___h_pfr_wr_past_2_seasons,team_history___v_close_wr_past_2_seasons,travel___h_days_since_last_game,team_history___h_ovr_wr_past_3_seasons,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,label,dataset,fold
1,12.0,0.0,0.225,1.0,0.3125,10.0,0.5,0.25,0.75,24.3,16.25840917502385,0,14.0,0.75,43.5,0.6,1.0,1,0.9,1,0.375,6.0,0.5,0.5,7.0,0.375,0.25,0.6,0,0.375,0.625,43.0,46.0,0.375,45.0,0.375,5.102278507882513,-400,0.4375,0.3333333333333333,1.3,22.0,0.25,0.0,29.0,1.0,0.4375,0.0,0.20833333333333331,-9.5,0.4375,0.5,16.25840917502385,0.5,0.5,13.0,0.5,53.0,53.0,0.3125,320,0.5,13.0,0.375,15.0,0.5,-36.7,0.4375,0.5,0.5,0.5,0.20833333333333331,0.25,0.6,0.0,0.8,0.55,0.3333333333333333,-2.9,13.0,0.6,31.0,5.102278507882513,13.0,0.0,0,0.5,200811090nyj,0.5,-1.7,-1.5,0.3125,0.3125,0.4375,0.25,0.25,0.5,-15.7,0.5,-9.5,12.0,0.5,0.0,1.0,16.25840917502385,0.5,-38.7,0.0,16.25840917502385,0.625,5.102278507882513,0.3125,0.4,-9.0,0.5,0.7,0.375,14.0,0.5,0.4375,0.3125,7.0,0.375,1,1,10,2008,44,9.5,44,training,3
1,13.0,0.0,0.78,1.0,0.9,6.0,0.9,0.7023809523809523,1.0,-26.9,19.341748889927192,0,0.0,1.0,47.5,1.0,-1.0,1,-28.8,2,1.0,6.0,0.9,1.0,7.0,0.9,1.0,0.8,0,1.0,1.0,47.5,0.0,1.0,49.0,1.0,0.0,-180,0.5694444444444444,0.75,-3.2,2.0,0.7045454545454546,0.0,8.0,1.0,0.725,1.0,0.7727272727272727,-3.0,0.5694444444444444,1.0,19.341748889927192,1.0,1.0,12.0,1.0,68.0,68.0,0.9,160,1.0,12.0,0.6,20.0,0.5,37.2,0.5972222222222222,1.0,1.0,0.5,0.7380952380952381,1.0,0.9,0.0,0.8,1.25,0.7261904761904762,32.7,2.0,0.8,3.0,0.0,13.0,0.0,1,1.0,200910180nor,1.0,59.3,33.0,0.9,0.7261904761904762,0.775,1.0,1.0,1.0,21.7,1.0,-3.0,13.0,1.0,0.0,-1.0,19.341748889927192,0.5,45.3,0.0,19.341748889927192,1.0,0.0,0.9,1.0,-3.5,1.0,-2.5,0.9,23.0,0.5,0.725,0.75,14.0,0.5277777777777778,1,1,6,2009,21,3.0,21,training,4
1,12.0,0.0,0.82,1.0,0.6,7.0,0.6,0.6153846153846154,0.0,-15.8,7.032543750791744,1,12.0,0.0,41.5,0.6,1.0,1,18.3,1,0.5,6.0,0.6,0.5,7.0,0.6,0.5,0.6,0,0.5,0.16666666666666666,41.5,45.0,0.5,43.0,0.5,1.989209829480024,320,0.5657894736842105,0.5238095238095238,-0.3,31.0,0.5238095238095238,0.0,12.0,1.0,0.4545454545454545,0.0,0.42857142857142855,9.0,0.5789473684210527,0.5,7.032543750791744,0.5,0.5,13.0,0.5,50.0,50.0,0.6,-400,0.5,13.0,0.2272727272727273,1.0,0.5,19.6,0.5394736842105263,0.5,0.5,0.5,0.5897435897435898,0.6,0.6,0.0,0.2,0.26666666666666666,0.6282051282051282,-26.7,27.0,0.6,4.0,1.989209829480024,13.0,0.0,0,0.5,200910250cle,0.5,-30.7,-26.1,0.6,0.6153846153846154,0.4545454545454545,0.6,0.5,0.5,13.4,0.5,9.0,12.0,0.5,0.0,1.0,7.032543750791744,0.5,28.9,0.0,7.032543750791744,0.16666666666666666,1.989209829480024,0.6,0.6,6.5,0.5,13.8,0.6,15.0,0.5,0.4318181818181818,0.5,7.0,0.3947368421052632,-1,-1,7,2009,-28,9.0,-28,training,3
1,11.0,0.0,0.2857142857142857,1.0,0.5,16.0,0.6,0.43478260869565216,0.16666666666666666,10.5,23.387046372767983,1,6.0,0.25,37.0,1.0,2.0,2,21.9,1,0.75,6.0,0.6,0.5714285714285714,7.0,0.5,0.42857142857142855,1.0,0,0.5714285714285714,0.21428571428571427,37.0,84.0,0.75,37.5,0.5714285714285714,13.018451979052664,-180,0.5760869565217391,0.4666666666666667,1.2,25.0,0.4666666666666667,1.0,29.0,1.0,0.5,1.0,0.3333333333333333,-3.0,0.5869565217391305,0.5,23.387046372767983,0.5,0.5714285714285714,12.0,0.5,34.0,30.0,0.5,160,0.5,13.0,0.2333333333333333,1.0,0.0,-28.8,0.5543478260869565,0.5714285714285714,0.5,0.5,0.3043478260869565,0.35714285714285715,0.6,0.0,0.4,0.3,0.43478260869565216,-23.2,32.0,1.0,26.0,13.018451979052664,13.0,0.0,0,0.75,200912270cle,0.5714285714285714,-27.8,-14.8,0.5,0.43478260869565216,0.5,0.35714285714285715,0.5,0.5714285714285714,-21.7,0.5714285714285714,-3.0,10.0,0.5714285714285714,0.0,2.0,40.674765407657866,0.0,-31.1,1.0,23.387046372767983,0.21428571428571427,13.018451979052664,0.5,0.6,-3.0,0.5,8.9,0.5,13.0,0.5,0.4833333333333333,0.4666666666666667,7.0,0.3695652173913043,1,1,16,2009,14,3.0,14,training,4
1,20.0,0.0,0.5133333333333333,1.0,0.4,17.0,0.4,0.3723404255319149,0.5714285714285714,6.1,21.14548034818789,1,9.0,0.75,49.0,1.0,1.0,1,3.9,1,0.75,6.0,0.4,0.6666666666666666,7.0,0.4,0.5714285714285714,1.0,0,0.7142857142857143,0.6,49.0,53.0,0.75,50.0,0.7142857142857143,1.9661519946586024,-175,0.5744680851063829,0.3709677419354839,-0.7,6.0,0.3709677419354839,0.0,11.0,1.0,0.5483870967741935,1.0,0.5161290322580645,-3.0,0.5638297872340425,0.75,21.14548034818789,0.75,0.7142857142857143,21.0,0.5714285714285714,37.0,30.0,0.4,155,0.5714285714285714,21.0,0.4516129032258064,25.0,0.4,1.1,0.5744680851063829,0.6666666666666666,0.75,1.0,0.4680851063829787,0.5333333333333333,0.4,0.0,1.0,0.5933333333333334,0.39361702127659576,13.1,21.0,1.0,23.0,1.9661519946586024,21.0,1.0,0,0.75,201212300was,0.6666666666666666,7.5,14.3,0.4,0.3723404255319149,0.5483870967741935,0.5333333333333333,0.75,0.6666666666666666,7.1,0.6666666666666666,-3.0,20.0,0.6666666666666666,0.0,1.0,21.14548034818789,0.4,0.3,0.0,21.14548034818789,0.6,1.9661519946586024,0.4,0.6,-3.5,0.5714285714285714,-2.9,0.4,19.0,0.33333333333333337,0.5483870967741935,0.3709677419354839,7.0,0.425531914893617,1,1,17,2012,10,3.0,10,training,1
1,13.0,0.0,0.5294328528952108,1.0,1.0,2.0,0.6,0.5303030303030303,0.5,-16.1,16.87850178942728,0,4.0,0.5,42.5,0.6,0.0,1,3.5,1,0.5,6.0,0.6,1.0,7.0,1.0,0.5,0.6,0,0.5,1.0,43.0,56.0,0.5,44.5,0.5,8.876643452341657,-125,0.4848484848484849,0.5588235294117647,-0.8,10.0,0.5294117647058824,1.0,14.0,1.0,0.5294117647058824,1.0,0.5294117647058824,-1.5,0.4848484848484849,0.5,16.87850178942728,0.5,0.5,12.0,0.5,58.0,58.0,1.0,105,0.5,13.0,0.4117647058823529,1.0,0.6,-3.1,0.4696969696969697,1.0,0.5,0.5,0.4848484848484849,1.0,0.6,0.0,0.6,0.5190258251586375,0.5454545454545454,0.9,17.0,0.6,9.0,8.876643452341657,13.0,1.0,0,0.5,201409140buf,1.0,27.2,17.8,1.0,0.5454545454545454,0.5,1.0,0.5,1.0,5.3,1.0,-1.5,13.0,1.0,0.0,0.0,16.87850178942728,0.75,20.6,1.0,16.87850178942728,1.0,8.876643452341657,1.0,0.6,-1.0,0.5,12.9,1.0,17.0,1.0,0.5294117647058824,0.5588235294117647,7.0,0.3939393939393939,1,1,2,2014,19,1.5,19,training,2
1,20.0,0.0,0.55,1.0,0.625,10.0,0.5,0.4875,0.9,4.5,3.7076221039501935,0,17.0,0.875,46.0,0.1,0.0,1,1.1,3,0.6666666666666666,3.0,0.6,0.5625,4.0,0.6875,0.3333333333333333,0.3,0,0.5,0.6875,46.5,86.0,0.5,44.0,0.6666666666666666,0.0,-260,0.5833333333333334,0.4791666666666667,1.8,15.0,0.4583333333333333,0.0,16.0,0.0,0.6,1.0,0.375,-6.5,0.5833333333333334,0.375,3.7076221039501935,0.625,0.6666666666666666,20.0,0.7,42.0,42.0,0.5625,215,0.5,20.0,0.66,8.0,0.6,-5.1,0.5833333333333334,0.5625,0.625,0.5,0.35,0.625,0.6,0.0,0.5,0.6375,0.5,4.4,14.0,0.3,21.0,0.0,20.0,1.0,1,0.6666666666666666,201411060cin,0.5625,6.1,3.6,0.625,0.475,0.6,0.625,0.3333333333333333,0.4375,-1.9,0.4375,-6.0,20.0,0.5625,0.0,0.0,3.7076221039501935,0.5,-4.6,0.0,3.7076221039501935,0.6875,0.0,0.5625,0.8,-6.0,0.7,3.5,0.6875,14.0,0.5,0.6,0.4375,4.0,0.6309523809523809,-1,-1,10,2014,-21,6.0,-21,training,1
1,19.0,0.0,0.43333333333333335,1.0,0.5555555555555556,11.0,0.4,0.3780487804878049,0.3333333333333333,-2.0,7.777636709316006,1,5.0,0.3333333333333333,43.0,0.6,1.0,1,2.5,1,0.5,3.0,0.4,0.5,4.0,0.5,0.5,0.6,0,0.5,0.25,42.0,90.0,0.5,44.0,0.5,10.262776284578157,-145,0.4146341463414634,0.3,-2.5,21.0,0.32,0.0,29.0,0.0,0.46,1.0,0.16,-2.5,0.4146341463414634,0.3333333333333333,7.777636709316006,0.3333333333333333,0.5,20.0,0.3333333333333333,75.0,75.0,0.4444444444444444,125,0.3333333333333333,20.0,0.24,30.0,0.4,-18.4,0.4390243902439024,0.5,0.3333333333333333,0.5,0.2682926829268293,0.2222222222222222,0.4,0.0,0.4,0.4111111111111112,0.3780487804878049,-13.8,18.0,0.6,13.0,10.262776284578157,20.0,1.0,0,0.5,201511190jax,0.5555555555555556,-13.1,-5.1,0.5555555555555556,0.3780487804878049,0.48,0.2222222222222222,0.5,0.5555555555555556,-16.4,0.5,-2.5,19.0,0.5555555555555556,0.0,1.0,7.777636709316006,0.5,-16.9,0.0,7.777636709316006,0.3333333333333333,10.262776284578157,0.4444444444444444,0.2,-3.0,0.3333333333333333,-5.5,0.5,24.0,0.5,0.46,0.3,4.0,0.24390243902439024,1,1,11,2015,6,2.5,6,training,4
1,10.0,0.0,0.65,1.0,0.5,5.0,0.7,0.6956521739130435,0.0,3.5,43.58750951845037,1,16.0,0.0,44.5,0.4,3.0,2,0.5,1,0.5,6.0,0.6,0.3333333333333333,7.0,0.625,0.5,0.4,0,0.75,0.3333333333333333,44.5,74.0,0.75,45.5,0.5,18.461105811685353,210,0.3684210526315789,0.7173913043478259,0.3,10.0,0.6956521739130435,0.0,6.0,1.0,0.3684210526315789,1.0,0.6521739130434783,6.0,0.3684210526315789,0.0,43.58750951845037,0.0,0.75,13.0,0.0,86.0,86.0,0.625,-250,0.0,13.0,0.10526315789473684,32.0,0.5,19.7,0.4473684210526316,0.3333333333333333,0.0,0.5,0.6521739130434783,0.5,0.7,0.0,0.2,0.5,0.7173913043478259,-11.2,15.0,0.4,17.0,1.790209731115845,13.0,0.0,0,0.75,200810050mia,0.3333333333333333,1.1,9.5,0.5,0.7173913043478259,0.4473684210526316,0.5,0.5,0.3333333333333333,18.3,0.3333333333333333,6.0,10.0,0.3333333333333333,0.0,3.0,37.50674063821729,0.5,15.1,0.0,43.58750951845037,0.3333333333333333,0.0,0.625,0.4,7.5,0.0,-7.8,0.625,15.0,0.5,0.3684210526315789,0.7173913043478259,14.0,0.10526315789473684,1,1,5,2008,7,6.0,7,training,2
1,10.0,0.0,0.55,1.0,0.5,6.0,0.4,0.4,0.6666666666666666,1.6,33.053171905402685,0,0.0,0.6666666666666666,47.5,0.6,0.0,1,9.6,3,1.0,6.0,0.4,0.6,14.0,0.5,0.5,0.6,0,1.0,0.4,47.0,0.0,1.0,47.5,1.0,0.0,-300,0.42857142857142855,0.4,7.6,10.0,0.4,0.0,27.0,1.0,0.42857142857142855,0.0,0.25,-7.0,0.42857142857142855,0.6666666666666666,3.205231072986023,0.6666666666666666,1.0,12.0,0.6666666666666666,68.0,68.0,0.5,250,0.6666666666666666,12.0,0.42857142857142855,2.0,0.5,-13.3,0.42857142857142855,0.6,0.6666666666666666,0.5,0.25,0.25,0.4,0.0,0.4,0.6,0.4,7.5,22.0,0.6,15.0,0.0,13.0,0.0,1,1.0,200810120nor,0.6,9.9,11.2,0.5,0.4,0.42857142857142855,0.25,0.5,0.6,-12.3,0.6,-7.0,10.0,0.6,0.0,2.0,33.053171905402685,0.5,-6.3,0.0,0.0,0.4,0.0,0.5,0.2,-9.0,0.6666666666666666,8.4,0.5,3.0,0.5,0.42857142857142855,0.4,6.0,0.42857142857142855,1,1,6,2008,31,7.0,31,training,1
